Energy_rel_Fermi(eV),DOS(states/eV)
-3.392404661307806713e+00,4.197656231354416957e-43
-3.386620510137631435e+00,4.197656231354416957e-43
-3.380836358967456157e+00,4.197656231354416957e-43
-3.375052207797280879e+00,4.197656231354416957e-43
-3.369268056627105601e+00,4.197656231354416957e-43
-3.363483905456930323e+00,4.197656231354416957e-43
-3.357699754286755045e+00,4.197656231354416957e-43
-3.351915603116579767e+00,4.197656231354416957e-43
-3.346131451946404489e+00,4.197656231354416957e-43
-3.340347300776229211e+00,4.197656231354416957e-43
-3.334563149606053933e+00,4.197656231354416957e-43
-3.328778998435878655e+00,4.197656231354416957e-43
-3.322994847265703378e+00,4.197656231354416957e-43
-3.317210696095528100e+00,4.197656231354416957e-43
-3.311426544925352822e+00,4.197656231354416957e-43
-3.305642393755177544e+00,4.197656231354416957e-43
-3.299858242585002266e+00,4.197656231354416957e-43
-3.294074091414826988e+00,4.197656231354416957e-43
-3.288289940244651710e+00,4.197656231354416957e-43
-3.282505789074476432e+00,4.197656231354416957e-43
-3.276721637904301154e+00,4.197656231354416957e-43
-3.270937486734125876e+00,4.197656231354416957e-43
-3.265153335563950598e+00,4.197656231354416957e-43
-3.259369184393775321e+00,4.197656231354416957e-43
-3.253585033223600043e+00,4.197656231354416957e-43
-3.247800882053424765e+00,4.197656231354416957e-43
-3.242016730883249487e+00,4.197656231354416957e-43
-3.236232579713074209e+00,4.197656231354416957e-43
-3.230448428542898931e+00,4.197656231354416957e-43
-3.224664277372723653e+00,4.197656231354416957e-43
-3.218880126202546599e+00,4.197656231354416957e-43
-3.213095975032371321e+00,4.197656231354416957e-43
-3.207311823862196043e+00,4.197656231354416957e-43
-3.201527672692020765e+00,4.197656231354416957e-43
-3.195743521521845487e+00,4.197656231354416957e-43
-3.189959370351670209e+00,4.197656231354416957e-43
-3.184175219181494931e+00,4.197656231354416957e-43
-3.178391068011319653e+00,4.197656231354416957e-43
-3.172606916841144375e+00,4.197656231354416957e-43
-3.166822765670969098e+00,4.197656231354416957e-43
-3.161038614500793820e+00,4.197656231354416957e-43
-3.155254463330618542e+00,4.197656231354416957e-43
-3.149470312160443264e+00,4.197656231354416957e-43
-3.143686160990267986e+00,4.197656231354416957e-43
-3.137902009820092708e+00,4.197656231354416957e-43
-3.132117858649917430e+00,4.197656231354416957e-43
-3.126333707479742152e+00,4.197656231354416957e-43
-3.120549556309566874e+00,4.197656231354416957e-43
-3.114765405139391596e+00,4.197656231354416957e-43
-3.108981253969216318e+00,4.197656231354416957e-43
-3.103197102799041041e+00,4.197656231354416957e-43
-3.097412951628865763e+00,4.197656231354416957e-43
-3.091628800458690485e+00,4.197656231354416957e-43
-3.085844649288515207e+00,4.197656231354416957e-43
-3.080060498118339929e+00,4.197656231354416957e-43
-3.074276346948164651e+00,4.197656231354416957e-43
-3.068492195777989373e+00,4.197656231354416957e-43
-3.062708044607814095e+00,4.197656231354416957e-43
-3.056923893437638817e+00,4.197656231354416957e-43
-3.051139742267463539e+00,4.197656231354416957e-43
-3.045355591097288261e+00,4.197656231354416957e-43
-3.039571439927112984e+00,4.197656231354416957e-43
-3.033787288756937706e+00,4.197656231354416957e-43
-3.028003137586762428e+00,4.197656231354416957e-43
-3.022218986416587150e+00,4.197656231354416957e-43
-3.016434835246411872e+00,4.197656231354416957e-43
-3.010650684076236594e+00,4.197656231354416957e-43
-3.004866532906061316e+00,4.197656231354416957e-43
-2.999082381735886038e+00,4.197656231354416957e-43
-2.993298230565710760e+00,4.197656231354416957e-43
-2.987514079395535482e+00,4.197656231354416957e-43
-2.981729928225360204e+00,4.197656231354416957e-43
-2.975945777055184926e+00,4.197656231354416957e-43
-2.970161625885009649e+00,4.197656231354416957e-43
-2.964377474714834371e+00,4.197656231354416957e-43
-2.958593323544659093e+00,4.197656231354416957e-43
-2.952809172374483815e+00,4.197656231354416957e-43
-2.947025021204308537e+00,4.197656231354416957e-43
-2.941240870034133259e+00,4.197656231354416957e-43
-2.935456718863957981e+00,4.197656231354416957e-43
-2.929672567693782703e+00,4.197656231354416957e-43
-2.923888416523607425e+00,4.197656231354416957e-43
-2.918104265353432147e+00,4.197656231354416957e-43
-2.912320114183256869e+00,4.197656231354416957e-43
-2.906535963013081592e+00,4.197656231354416957e-43
-2.900751811842906314e+00,4.197656231354416957e-43
-2.894967660672731036e+00,4.197656231354416957e-43
-2.889183509502555758e+00,4.197656231354416957e-43
-2.883399358332380480e+00,4.197656231354416957e-43
-2.877615207162205202e+00,4.197656231354416957e-43
-2.871831055992029924e+00,4.197656231354416957e-43
-2.866046904821854646e+00,4.197656231354416957e-43
-2.860262753651679368e+00,4.197656231354416957e-43
-2.854478602481504090e+00,4.197656231354416957e-43
-2.848694451311328812e+00,4.197656231354416957e-43
-2.842910300141153535e+00,4.197656231354416957e-43
-2.837126148970978257e+00,4.197656231354416957e-43
-2.831341997800802979e+00,4.197656231354416957e-43
-2.825557846630627701e+00,4.197656231354416957e-43
-2.819773695460452423e+00,4.197656231354416957e-43
-2.813989544290277145e+00,4.197656231354416957e-43
-2.808205393120101867e+00,4.197656231354416957e-43
-2.802421241949926589e+00,4.197656231354416957e-43
-2.796637090779751311e+00,4.197656231354416957e-43
-2.790852939609576033e+00,4.197656231354416957e-43
-2.785068788439400755e+00,4.197656231354416957e-43
-2.779284637269225477e+00,4.197656231354416957e-43
-2.773500486099050200e+00,4.197656231354416957e-43
-2.767716334928874922e+00,4.197656231354416957e-43
-2.761932183758699644e+00,4.197656231354416957e-43
-2.756148032588524366e+00,4.197656231354416957e-43
-2.750363881418349088e+00,4.197656231354416957e-43
-2.744579730248173810e+00,4.197656231354416957e-43
-2.738795579077998532e+00,4.197656231354416957e-43
-2.733011427907823254e+00,4.197656231354416957e-43
-2.727227276737647976e+00,4.197656231354416957e-43
-2.721443125567472698e+00,4.197656231354416957e-43
-2.715658974397297420e+00,4.197656231354416957e-43
-2.709874823227122143e+00,4.197656231354416957e-43
-2.704090672056946865e+00,4.197656231354416957e-43
-2.698306520886771587e+00,4.197656231354416957e-43
-2.692522369716596309e+00,4.197656231354416957e-43
-2.686738218546421031e+00,4.197656231354416957e-43
-2.680954067376245753e+00,4.197656231354416957e-43
-2.675169916206070475e+00,4.197656231354416957e-43
-2.669385765035895197e+00,4.197656231354416957e-43
-2.663601613865719919e+00,4.197656231354416957e-43
-2.657817462695544641e+00,4.197656231354416957e-43
-2.652033311525369363e+00,4.197656231354416957e-43
-2.646249160355194086e+00,4.197656231354416957e-43
-2.640465009185018808e+00,4.197656231354416957e-43
-2.634680858014843530e+00,4.197656231354416957e-43
-2.628896706844668252e+00,4.197656231354416957e-43
-2.623112555674492974e+00,4.197656231354416957e-43
-2.617328404504317696e+00,4.197656231354416957e-43
-2.611544253334142418e+00,4.197656231354416957e-43
-2.605760102163967140e+00,4.197656231354416957e-43
-2.599975950993791862e+00,4.197656231354416957e-43
-2.594191799823616584e+00,4.197656231354416957e-43
-2.588407648653441306e+00,4.197656231354416957e-43
-2.582623497483266028e+00,4.197656231354416957e-43
-2.576839346313090751e+00,4.197656231354416957e-43
-2.571055195142915473e+00,4.197656231354416957e-43
-2.565271043972740195e+00,4.197656231354416957e-43
